date,region,channel,sales_usd,units_sold,discount_rate,customer_satisfaction,marketing_spend,returns
2022-06-28,West,Wholesale,8176.98,592,0.258,4.35,476.5,23
2022-06-29,North,Wholesale,8297.56,539,0.212,4.27,816.93,32
2022-06-30,South,Wholesale,9352.88,610,0.017,4.29,750.49,52
2022-07-01,North,Online,8042.98,616,0.387,3.98,855.3,17
2022-07-02,West,Online,7615.27,576,0.319,3.49,992.88,54
2022-07-03,West,Retail,8912.57,586,0.117,4.46,567.86,42
2022-07-04,North,Wholesale,7092.94,589,0.392,3.99,766.53,49
2022-07-05,East,Retail,8831.31,610,0.241,,888.0,36
2022-07-06,West,Retail,7369.09,566,0.233,4.34,474.63,45
2022-07-07,East,Online,8773.0,657,0.299,4.01,986.08,7
2022-07-08,South,Retail,7402.79,539,0.325,4.44,572.71,45
2022-07-09,North,Online,6705.62,552,0.263,4.31,662.4,7
2022-07-10,North,Online,8730.65,556,0.051,4.32,508.36,50
2022-07-11,West,Online,7744.87,570,0.135,3.71,743.19,56
2022-07-12,West,Retail,7751.47,621,0.371,4.48,625.13,22
2022-07-13,East,Online,7943.93,527,0.09,4.19,1050.49,15
2022-07-14,South,Online,7845.77,594,0.149,4.0,436.99,46
2022-07-15,South,Retail,6683.81,472,0.173,4.15,613.98,15
2022-07-16,East,Online,7716.34,558,0.176,3.57,739.56,49
2022-07-17,West,Retail,6033.55,459,0.245,4.23,739.11,8
2022-07-18,West,Online,6119.87,479,0.377,3.79,657.45,10
2022-07-19,East,Online,8958.86,640,0.096,3.7,1045.69,62
2022-07-20,East,Retail,9197.18,646,0.049,,1174.52,45
2022-07-21,North,Online,8771.29,548,0.079,4.43,1194.83,47
2022-07-22,North,Online,6590.78,549,0.355,3.91,536.41,21
2022-07-23,West,Online,7612.33,509,0.258,4.55,790.18,36
2022-07-24,East,Online,8269.15,605,0.114,,1108.16,38
2022-07-25,North,Wholesale,6561.3,536,0.326,3.58,977.27,34
2022-07-26,North,Online,8247.66,586,0.345,3.75,1146.03,41
2022-07-27,East,Wholesale,7856.24,579,0.339,4.46,684.65,35
2022-07-28,North,Online,6997.19,506,0.368,4.04,486.42,24
2022-07-29,North,Retail,8322.82,568,0.101,3.92,823.45,19
2022-07-30,South,Retail,7559.58,555,0.302,4.13,938.63,43
2022-07-31,East,Retail,6444.29,489,0.184,4.23,639.64,14
2022-08-01,East,Online,7091.65,579,0.337,,697.24,41
2022-08-02,North,Online,6982.94,565,0.291,4.51,934.48,17
2022-08-03,East,Online,6683.46,490,0.311,3.96,575.72,32
2022-08-04,North,Wholesale,7369.35,537,0.262,3.67,1002.08,41
2022-08-05,South,Wholesale,9779.74,615,0.071,3.94,886.83,18
2022-08-06,East,Wholesale,8204.34,566,0.218,4.14,679.51,8
2022-08-07,East,Online,6611.19,548,0.394,3.77,630.7,11
2022-08-08,West,Retail,7427.62,618,0.375,3.77,937.7,39
2022-08-09,East,Wholesale,9712.25,613,0.017,4.16,607.99,53
2022-08-10,East,Online,9100.83,602,0.066,4.04,633.8,8
2022-08-11,North,Online,8483.48,575,0.053,4.06,1231.33,43
2022-08-12,South,Retail,6959.62,530,0.29,3.83,470.12,21
2022-08-13,North,Retail,7705.22,554,0.327,3.98,822.71,29
2022-08-14,North,Wholesale,8579.38,601,0.085,3.77,925.99,56
2022-08-15,West,Online,8410.74,586,0.202,4.31,832.35,23
2022-08-16,South,Retail,7606.03,573,0.336,4.36,870.7,29
2022-08-17,West,Online,8081.14,613,0.293,3.49,589.78,6
2022-08-18,East,Online,7306.33,530,0.217,3.76,769.11,9
2022-08-19,East,Online,8529.28,602,0.236,3.59,743.9,20
2022-08-20,South,Wholesale,7877.71,562,0.203,3.84,915.13,7
2022-08-21,East,Retail,9654.53,664,0.119,4.01,619.07,44
2022-08-22,South,Retail,7138.41,509,0.226,3.6,764.44,24
2022-08-23,North,Online,8606.67,621,0.276,3.75,589.79,36
2022-08-24,East,Wholesale,7217.97,599,0.349,3.73,562.02,15
2022-08-25,North,Online,7034.32,536,0.255,4.09,,19
2022-08-26,North,Wholesale,6941.62,514,0.304,4.05,474.0,35
2022-08-27,East,Online,8046.73,570,0.064,3.81,1066.76,55
2022-08-28,North,Online,8080.66,565,0.185,4.07,634.9,8
2022-08-29,West,Online,8958.63,633,0.004,3.86,1278.51,57
2022-08-30,West,Online,7692.91,543,0.099,3.94,1130.8,33
2022-08-31,West,Retail,7286.9,540,0.291,4.52,780.62,32
2022-09-01,South,Retail,8219.11,640,0.397,4.42,528.49,35
2022-09-02,North,Online,9718.43,608,0.04,3.62,849.92,9
2022-09-03,West,Wholesale,8163.37,542,0.161,4.26,1059.39,9
2022-09-04,South,Online,7183.09,507,0.32,,623.05,32
2022-09-05,West,Retail,8259.66,571,0.082,3.66,484.86,23
2022-09-06,West,Wholesale,8000.7,629,0.222,4.25,845.5,58
2022-09-07,West,Retail,6558.07,562,0.293,4.46,882.14,26
2022-09-08,North,Online,7269.65,553,0.246,3.66,942.09,12
2022-09-09,South,Wholesale,6887.01,489,0.075,3.72,464.96,36
2022-09-10,West,Retail,8178.56,519,0.142,4.3,959.15,18
2022-09-11,South,Online,7586.4,552,0.314,4.07,546.6,31
2022-09-12,North,Online,7190.06,500,0.222,4.16,516.4,36
2022-09-13,East,Retail,9715.95,629,0.002,4.09,1335.04,57
2022-09-14,West,Retail,6341.82,478,0.304,4.1,475.43,38
2022-09-15,East,Retail,7231.97,470,0.014,3.59,551.98,33
2022-09-16,East,Wholesale,7341.55,489,0.298,4.3,367.56,34
2022-09-17,North,Retail,8904.74,632,0.081,4.33,1220.54,60
2022-09-18,East,Online,7909.25,571,0.383,3.91,1022.35,20
2022-09-19,West,Online,7470.36,534,0.147,3.96,842.16,5
2022-09-20,North,Online,8680.5,667,0.131,3.52,1085.29,22
2022-09-21,South,Retail,8138.26,526,0.06,4.13,530.65,15
2022-09-22,West,Online,7768.97,466,0.122,4.14,744.52,32
2022-09-23,East,Retail,7515.83,562,0.351,3.95,639.76,37
2022-09-24,East,Retail,7144.67,589,0.399,4.3,424.23,37
2022-09-25,East,Wholesale,6608.2,528,0.147,3.86,651.65,6
2022-09-26,South,Online,8711.37,579,0.179,4.13,1237.66,43
2022-09-27,North,Wholesale,8116.8,613,0.289,3.66,438.36,24
2022-09-28,West,Online,6480.31,488,0.354,3.95,512.89,34
2022-09-29,West,Wholesale,7656.98,554,0.237,3.9,541.76,33
2022-09-30,West,Online,8074.0,648,0.157,4.02,595.98,26
2022-10-01,West,Online,7860.25,511,0.165,3.84,,11
2022-10-02,South,Retail,6811.65,517,0.278,3.91,659.41,9
2022-10-03,South,Online,7804.37,534,0.001,4.2,754.14,45
2022-10-04,East,Online,7289.21,568,0.248,3.82,918.86,52
2022-10-05,East,Retail,8613.57,605,0.142,3.46,563.75,41
2022-10-06,East,Retail,7371.54,564,0.318,4.47,727.77,10
2022-10-07,East,Retail,7876.88,520,0.037,4.36,732.54,24
2022-10-08,West,Retail,7882.99,580,0.235,3.55,864.69,43
2022-10-09,South,Retail,5451.56,391,0.192,4.14,817.49,31
2022-10-10,South,Online,8038.71,605,0.257,3.78,1020.47,12
2022-10-11,North,Online,6817.24,448,0.026,4.01,612.1,4
2022-10-12,East,Online,7074.35,529,0.232,4.02,939.16,39
2022-10-13,North,Wholesale,6560.87,481,0.225,3.86,440.04,20
2022-10-14,South,Retail,6432.44,507,0.224,3.69,341.22,16
2022-10-15,South,Online,8092.41,586,0.241,3.72,570.07,6
2022-10-16,North,Online,6826.32,456,0.271,3.65,573.69,26
2022-10-17,East,Wholesale,7164.85,579,0.322,3.67,724.07,50
2022-10-18,North,Online,7775.45,512,0.108,3.9,867.06,49
2022-10-19,North,Retail,7207.75,526,0.33,3.7,,32
2022-10-20,West,Retail,7478.25,520,0.199,4.12,755.19,29
2022-10-21,South,Retail,7100.93,520,0.031,4.36,711.0,9
2022-10-22,North,Online,8923.74,535,0.023,3.74,491.02,31
2022-10-23,South,Wholesale,7307.93,608,0.134,3.98,390.91,26
2022-10-24,East,Wholesale,5880.22,486,0.314,4.06,,31
2022-10-25,North,Retail,6757.77,513,0.283,4.05,634.0,23
2022-10-26,East,Retail,7925.01,589,0.315,3.93,1061.3,18
2022-10-27,North,Wholesale,7963.65,580,0.207,4.12,526.14,10
2022-10-28,North,Retail,7220.42,532,0.176,4.04,379.05,20
2022-10-29,South,Online,7677.68,542,0.059,3.53,728.64,10
2022-10-30,South,Retail,7406.74,536,0.131,4.16,546.23,13
2022-10-31,East,Retail,8985.63,636,0.174,4.16,493.86,62
2022-11-01,East,Online,8327.66,556,0.035,3.66,1019.8,27
2022-11-02,West,Retail,8134.87,555,0.088,3.9,497.52,32
2022-11-03,South,Wholesale,7909.59,569,0.239,4.09,876.64,50
2022-11-04,South,Wholesale,7117.47,567,0.294,3.82,555.91,56
2022-11-05,East,Online,6355.47,521,0.399,4.2,428.04,32
2022-11-06,North,Online,6494.98,419,0.373,4.59,571.4,34
2022-11-07,South,Wholesale,7040.74,540,0.257,3.64,916.31,21
2022-11-08,North,Wholesale,7418.02,534,0.168,3.46,661.76,20
2022-11-09,North,Online,7598.6,556,0.254,3.97,950.41,25
2022-11-10,West,Wholesale,6877.64,509,0.314,4.09,430.19,35
2022-11-11,West,Wholesale,8492.47,609,0.047,3.8,1080.9,43
2022-11-12,East,Retail,7382.38,553,0.164,4.3,544.03,21
2022-11-13,South,Retail,6792.03,496,0.336,3.47,799.69,10
2022-11-14,North,Online,5996.98,442,0.154,4.07,639.15,29
2022-11-15,North,Online,7812.31,537,0.229,3.68,1116.49,11
2022-11-16,North,Online,7376.68,497,0.235,4.38,654.55,30
2022-11-17,South,Wholesale,8547.13,565,0.074,4.46,483.91,40
2022-11-18,East,Online,5336.34,410,0.145,3.63,277.04,29
2022-11-19,East,Online,9083.55,660,0.134,3.69,1205.26,51
2022-11-20,North,Online,7904.81,544,0.01,4.11,810.03,48
2022-11-21,West,Retail,8895.4,616,0.01,3.73,1134.38,33
2022-11-22,East,Wholesale,6014.17,482,0.333,3.84,441.7,36
2022-11-23,East,Online,8064.42,540,0.109,3.85,681.51,35
2022-11-24,East,Online,6446.2,484,0.207,3.27,341.72,12
2022-11-25,South,Retail,7079.22,519,0.119,3.84,,6
2022-11-26,North,Online,7755.96,614,0.376,3.63,905.79,21
2022-11-27,South,Online,7455.69,553,0.104,3.69,1068.55,27
2022-11-28,East,Online,7480.71,554,0.172,4.27,572.65,36
2022-11-29,North,Online,7181.5,559,0.349,3.46,798.2,48
2022-11-30,North,Online,6981.01,564,0.337,4.08,822.71,15
2022-12-01,North,Online,7810.38,534,0.074,3.75,638.54,11
2022-12-02,North,Online,6949.09,501,0.321,3.74,936.81,48
2022-12-03,West,Wholesale,8995.24,631,0.183,4.06,1301.76,12
2022-12-04,East,Online,7162.07,493,0.193,3.93,991.84,26
2022-12-05,South,Retail,7911.81,517,0.053,3.99,980.33,32
2022-12-06,North,Retail,8660.55,579,0.032,4.11,673.33,34
2022-12-07,South,Online,7553.29,538,0.291,3.72,590.38,9
2022-12-08,South,Retail,8015.87,564,0.199,3.63,1173.01,8
2022-12-09,North,Online,7716.17,492,0.175,3.49,393.74,9
2022-12-10,South,Wholesale,5998.74,464,0.292,3.57,729.48,29
2022-12-11,South,Online,7824.15,582,0.306,4.7,943.79,34
2022-12-12,East,Online,6786.03,440,0.064,4.18,761.86,13
2022-12-13,East,Online,7165.82,546,0.244,3.4,1067.79,36
2022-12-14,North,Wholesale,7112.51,513,0.054,3.41,577.45,43
2022-12-15,South,Retail,6675.87,456,0.301,3.95,560.75,6
2022-12-16,East,Retail,7092.03,502,0.263,3.96,410.59,27
2022-12-17,South,Online,6593.05,492,0.383,3.96,621.59,35
2022-12-18,West,Retail,8113.85,518,0.028,3.72,,16
2022-12-19,East,Online,9070.04,634,0.023,3.76,764.96,23
2022-12-20,North,Wholesale,7775.51,535,0.113,3.89,1037.7,34
2022-12-21,North,Online,7274.63,497,0.105,3.82,1044.26,45
2022-12-22,East,Online,8210.37,507,0.099,3.12,563.01,42
2022-12-23,North,Online,7214.24,572,0.363,3.72,629.45,35
2022-12-24,East,Online,6528.66,418,0.1,3.53,932.7,31
2022-12-25,West,Retail,7872.79,548,0.109,3.84,442.3,23
2022-12-26,East,Online,7126.43,544,0.304,4.68,422.14,36
2022-12-27,South,Retail,6914.23,537,0.18,3.89,458.27,27
2022-12-28,East,Online,7542.98,525,0.311,3.68,826.12,14
2022-12-29,South,Retail,7602.89,421,0.026,4.05,494.55,30
2022-12-30,South,Online,7145.97,520,0.195,3.92,1049.08,31
2022-12-31,West,Online,7621.58,564,0.013,,721.55,23
2023-01-01,South,Retail,7720.11,556,0.025,3.95,773.18,51
2023-01-02,West,Online,5667.6,456,0.363,4.38,423.18,5
2023-01-03,West,Online,6456.59,426,0.056,3.43,626.91,16
2023-01-04,North,Wholesale,8098.09,606,0.213,3.9,940.93,9
2023-01-05,North,Wholesale,6519.91,438,0.164,3.48,815.76,34
2023-01-06,North,Online,6497.38,475,0.139,3.93,814.69,34
2023-01-07,North,Online,4958.6,417,0.36,3.48,534.48,16
2023-01-08,North,Retail,7220.7,514,0.009,3.63,1014.05,36
2023-01-09,East,Online,5809.69,523,0.266,3.66,765.37,23
2023-01-10,North,Online,7318.46,576,0.385,4.04,919.97,45
2023-01-11,South,Online,7595.08,535,0.224,4.02,421.99,27
2023-01-12,West,Retail,5842.0,463,0.375,3.37,296.12,21
2023-01-13,North,Retail,9435.76,580,0.021,3.76,,54
2023-01-14,West,Online,7799.84,532,0.168,3.53,907.53,17
2023-01-15,North,Online,7073.34,480,0.104,3.36,644.52,10
2023-01-16,North,Online,4880.45,368,0.292,3.67,440.41,23
2023-01-17,East,Retail,7669.43,594,0.393,3.64,1061.9,57
2023-01-18,East,Online,6253.55,412,0.103,4.46,872.72,18
2023-01-19,West,Online,5546.21,455,0.262,3.86,781.56,7
2023-01-20,East,Retail,8172.3,560,0.079,3.32,665.13,22
2023-01-21,West,Online,8547.54,614,0.226,3.56,1018.06,34
2023-01-22,North,Retail,7971.48,558,0.186,4.03,615.11,13
2023-01-23,North,Online,6545.07,518,0.389,4.35,452.01,35
2023-01-24,East,Online,7152.07,550,0.243,3.25,489.65,54
2023-01-25,West,Online,7760.8,519,0.14,3.16,653.54,26
2023-01-26,West,Retail,8073.91,527,0.046,4.28,750.84,22
2023-01-27,South,Wholesale,7636.06,512,0.06,3.83,1016.32,23
2023-01-28,South,Wholesale,7378.46,469,0.09,3.45,457.38,9
2023-01-29,East,Online,7206.37,475,0.1,3.87,889.93,42
2023-01-30,South,Retail,5832.45,442,0.34,2.92,601.59,20
2023-01-31,West,Online,6570.02,509,0.224,3.71,517.68,22
2023-02-01,West,Online,5609.08,423,0.209,3.8,556.88,29
2023-02-02,South,Wholesale,7361.61,505,0.046,,588.89,25
2023-02-03,East,Online,5643.74,470,0.344,3.4,618.6,32
2023-02-04,East,Online,5747.11,436,0.289,3.73,536.69,6
2023-02-05,North,Online,7634.37,526,0.027,3.42,507.23,43
2023-02-06,West,Online,7470.75,551,0.283,3.77,460.63,52
2023-02-07,South,Online,7413.61,545,0.217,3.43,775.98,37
2023-02-08,West,Retail,6217.44,403,0.033,3.57,871.94,38
2023-02-09,South,Online,6158.04,374,0.183,3.39,519.71,8
2023-02-10,West,Wholesale,7511.43,535,0.194,3.88,926.16,28
2023-02-11,South,Wholesale,6548.57,492,0.066,3.94,758.76,31
2023-02-12,North,Online,5978.8,502,0.378,3.61,855.9,31
2023-02-13,West,Online,6629.36,538,0.34,3.69,875.73,24
